source,brand,product,url,rating,review_text,review_date
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,3,"Pros: Didn’t settle in to fine lines or pores, not cakey on my already very dry skin
Cons: Oxidized from a perfect-shade-match neutral peach color to a warm orange in 3 hours. That being said I know foundations incisive more or less on different people",2025-05-16T23:28:03.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,4,"I'm so glad to have found the perfect foundation! It has great coverage that isn't too thick or heavy, and enough tones for anyone to find their perfect match. I am not a heavy makeup user, so appreciate that this gives me a natural look. The price is good for the amount of product you get, and the brand is cruelty free which is very important to me. I love this foundation and as long as they keep selling I am a life long customer!",2025-05-16T00:19:42.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"I've been using this foundation for years now and it is the perfect coverage. just got ready to reorder yet again and now it's showing as no longer available.
hopefully I can find something comfortable through Sephora",2025-05-15T21:58:58.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,2,Good product but it oxidizes a lot it was way darker after 6 hours then when i put it om,2025-05-13T03:22:29.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,1,Probably one of the absolute worst foundations I've ever used. I did follow the directions about shaking it. Tried it with multiple primers tried multiple application methods and still it sat on top of my pores sunk into my fine lines.,2025-05-10T20:36:50.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,This actually isn’t a cool foundation-Sephora describes it as such but Fenty’s website says it’s warm with golden undertones-which it is and it’s my perfect shade. Wears very well and lightweight for the amount of coverage.,2025-05-09T17:39:02.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,I absolutely loved this foundation. I hope to God their not discontinuing it.,2025-05-08T11:11:14.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,One of my best purchases as a foundation. I really love every Fenty product but this one deserves special place in your makeup collection,2025-05-07T19:16:55.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"I learned love this foundation. I have realized you need only a little, too much and it's no good. I started using it with the matching powder foundation, just to realize they are absolutely flawless together, right when they discontinued the powder. So I am hoping she relaunches some sort of matching powder again.",2025-05-06T11:13:51.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"It's such a perfect fit for my dark skin. It looks pale at first. After blending it, it fit perfectly with my skin tone.",2025-05-05T02:47:31.000+00:00
